"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Apartment List",NA,0.1,"8/31/2022","Prop Tech","San Francisco, CA","Series D","CEO Matthew Woods",NA,"San Francisco"
"Nate",30,NA,"8/30/2022","Business","New York City, NY","Series A","The Information",NA,"New York City"
"Skillz",NA,NA,"8/29/2022","Software","San Francisco, CA","Post-IPO","Seeking Alpha",NA,"San Francisco"
"Fungible",NA,NA,"8/29/2022","Cryptocurrency","Santa Clara, CA","Series C","Blocks & Files",NA,"Santa Clara"
"Okta",24,NA,"8/26/2022","Business","San Francisco, CA","Post-IPO","Unleash",NA,"San Francisco"
"Argyle",20,0.07,"8/26/2022","Insurance","New York City, NY","Series B","TechCrunch",NA,"New York City"
"FreshDirect",40,NA,"8/25/2022","Food","The Bronx, NY","Acquired","Philadelphia Business Journal",NA,"The Bronx"
"impact.com",NA,0.1,"8/25/2022","Business","Santa Barbara, CA","Private Equity","impact.com",NA,"Santa Barbara"
"ShipBob",NA,0.07,"8/25/2022","Logistics","Chicago, IL","Series E","Business Insider",NA,"Chicago"
"Pix",NA,NA,"8/24/2022","Food","Napa, CA","Unknown","San Francisco Chronicle",NA,"Napa"
"Reali",140,1,"8/24/2022","Prop Tech","San Mateo, CA","Series B","Calcalistech",NA,"San Mateo"
"DataRobot",NA,0.26,"8/23/2022","AI","Boston, MA","Series G","The Information",NA,"Boston"
"DataRobot",NA,0.26,"8/23/2022","AI","Boston, MA","Series G","The Information",NA,"Boston"
"Amperity",13,0.03,"8/20/2022","Software","Seattle, WA","Series D","Geekwire",NA,"Seattle"
"Wayfair",870,0.05,"8/19/2022","Business","Boston, MA","Post-IPO","SEC filings",NA,"Boston"
"Stripe",50,NA,"8/19/2022","Finance","San Francisco, CA","Series H","TechCrunch",NA,"San Francisco"
"Thirty Madison",24,0.03,"8/18/2022","Health","New York City, NY","Series C","Fierce Healthcare",NA,"New York City"
"New Relic",110,0.05,"8/18/2022","Services","Bay Area, CA","Post-IPO","MarketWatch",NA,"Bay Area"
"Tempo Automation",54,NA,"8/17/2022","Auto","San Francisco, CA","Series C","San Francisco Business Times",NA,"San Francisco"
"Malwarebytes",125,0.14,"8/17/2022","Security","San Francisco, CA","Series B","TechCrunch",NA,"San Francisco"
"Edmodo",NA,1,"8/16/2022","Education","San Mateo, CA","Acquired","EdSurge",NA,"San Mateo"
"Woven",5,0.15,"8/16/2022","AI","Indianapolis, IN","Series A","AdAge",NA,"Indianapolis"
"Blend",220,0.12,"8/15/2022","Finance","San Francisco, CA","Post-IPO","HousingWire",NA,"San Francisco"
"Sema4",250,0.13,"8/15/2022","AI","Stamford, CT","Post-IPO","Sema4",NA,"Stamford"
"ThredUp",NA,0.15,"8/15/2022","Business","Oakland, CA","Post-IPO","Retail Dive",NA,"Oakland"
"Almanac",NA,0.3,"8/13/2022","Telecommunication","San Francisco, CA","Series A","LinkedIn",NA,"San Francisco"
"Peloton",784,0.13,"8/12/2022","Fitness","New York City, NY","Post-IPO","CNBC",NA,"New York City"
"Orbit",14,NA,"8/12/2022","Software","San Francisco, CA","Series A","Orbit CEO Patrick Woods","Orbit CEO Patrick Woods announced at least 14 people have been laid off","San Francisco"
"Core Scientific",NA,0.1,"8/12/2022","Cryptocurrency","Austin, TX","Post-IPO","Blockworks",NA,"Austin"
"Truepill",175,0.33,"8/11/2022","Health","Hayward, CA","Series D","TechCrunch",NA,"Hayward"
"GoHealth",800,0.2,"8/11/2022","Health","Chicago, IL","Post-IPO","Chicago Sun Times",NA,"Chicago"
"Homeward",120,0.2,"8/11/2022","Business","Austin, TX","Series B","The Real Deal",NA,"Austin"
"Calm",90,0.2,"8/11/2022","Health","San Francisco, CA","Series C","Wall Street Journal",NA,"San Francisco"
"Nutanix",270,0.04,"8/10/2022","Data","San Jose, CA","Post-IPO","SFGate",NA,"San Jose"
"Sweetgreen",NA,0.05,"8/9/2022","Food","Washington, DC","Post-IPO","CNBC",NA,"Washington"
"Groupon",500,NA,"8/8/2022","Business","Chicago, IL","Post-IPO","TechCrunch",NA,"Chicago"
"Vroom",337,NA,"8/8/2022","Auto","New York City, NY","Post-IPO","Automotive News",NA,"New York City"
"Warby Parker",63,NA,"8/8/2022","Business","New York City, NY","Post-IPO","Insider",NA,"New York City"
"DataRobot",NA,NA,"8/8/2022","AI","Boston, MA","Series G","Boston Globe",NA,"Boston"
"Haus",NA,1,"8/8/2022","Food","Healdsburg, CA","Seed","TechCrunch",NA,"Healdsburg"
"Daily Harvest",NA,0.15,"8/8/2022","Food","New York City, NY","Series D","Fortune",NA,"New York City"
"iRobot",140,0.1,"8/5/2022","AI","Bedford, MA","Acquired","Geekwire",NA,"Bedford"
"RingCentral",50,NA,"8/4/2022","Software","Belmont, CA","Post-IPO","San Francisco Business Times",NA,"Belmont"
"Doma",250,0.13,"8/4/2022","Insurance","San Francisco, CA","Post-IPO","Inman",NA,"San Francisco"
"StubHub",NA,NA,"8/4/2022","Business","San Francisco, CA","Acquired","StubHub on LinkedIn","StubHub announced they would be letting go of the majority of their employees on a LinkedIn post","San Francisco"
"On Deck",73,NA,"8/4/2022","Social Related","San Francisco, CA","Series A","TechCrunch",NA,"San Francisco"
"Jam City",200,0.17,"8/4/2022","Software","Culver City, CA","Unknown","VentureBeat","Venture Beat reported around 150 to 200 people were laid off, which amounted to 17% of the company","Culver City"
"Beyond Meat",40,NA,"8/3/2022","Food","Manhattan Beach, CA","Post-IPO","Bloomberg",NA,"Manhattan Beach"
"Healthcare.com",149,NA,"8/3/2022","Insurance","Miami, FL","Series C","Miami Inno",NA,"Miami"
"Glossier",19,0.08,"8/2/2022","Fashion","New York City, NY","Series E","Modern Retail",NA,"New York City"
"Nylas",80,NA,"8/2/2022","Software","San Francisco, CA","Series C","Nylas",NA,"San Francisco"
"Latch",115,0.37,"8/2/2022","Prop Tech","New York, NY","Post-IPO","Latch",NA,"New York"
"Robinhood",713,0.23,"8/2/2022","Finance","Menlo Park, CA","Post-IPO","Robinhood",NA,"Menlo Park"
"Outreach",60,0.05,"8/2/2022","Business","Seattle, WA","Series G","LinkedIn",NA,"Seattle"
"Innovaccer",90,NA,"8/1/2022","Cloud","San Francisco, CA","Series E","Inc42",NA,"San Francisco"
"Oracle",NA,NA,"8/1/2022","Software","Austin, TX","Post-IPO","Bloomberg",NA,"Austin"
"Imperfect Foods",50,NA,"8/1/2022","Food","San Francisco, CA","Series D","San Francisco Business Times",NA,"San Francisco"
"OnlyFans",NA,NA,"8/1/2022","Social Related","Los Angeles, CA","Unknown","Business Insider","OnlyFans is based in the UK but has a sizeable workforce in the US","Los Angeles"
"2U",NA,0.2,"8/1/2022","Education","Hyattsville, MD","Post-IPO","Inside Higher Ed",NA,"Hyattsville"
"Shelf Engine",43,NA,"7/29/2022","Food","Seattle, WA","Series B","GeekWire","LinkedIn estimates company had around 150 employees before layoffs.","Seattle"
"Metromile",60,0.2,"7/29/2022","Insurance","San Francisco, CA","Acquired","Crunchbase","Crunchbase reported about 20% of employees were laid off following Lemonade's acquisition","San Francisco"
"Turntide",130,0.2,"7/28/2022","Tech","Sunnyvale, CA","Unknown","Business Insider",NA,"Sunnyvale"
"Change.org",NA,0.19,"7/28/2022","Tech","San Francisco, CA","Series D","Change.org",NA,"San Francisco"
"Rivian",840,0.06,"7/28/2022","Electric Vehicle (EV)","Irvine, CA","Private Equity","CNN",NA,"Irvine"
"People.ai",NA,NA,"7/26/2022","AI","San Francisco, CA","Series D","LinkedIn",NA,"San Francisco"
"Shopify",1000,0.1,"7/26/2022","Business","San Francisco, CA","Post-IPO","WSJ",NA,"San Francisco"
"Outbrain",38,0.03,"7/26/2022","Business","New York City, NY","Post-IPO","CTech",NA,"New York City"
"Pear Therapeutics",25,0.09,"7/25/2022","Software","Boston, MA","Post-IPO","MassDevice",NA,"Boston"
"Boosted Commerce",NA,0.05,"7/25/2022","Business","Los Angeles, CA","Series B","Business Insider",NA,"Los Angeles"
"Clarify Health",15,0.05,"7/22/2022","Health","San Francisco, CA","Series D","Axios",NA,"San Francisco"
"Lunchbox",60,0.33,"7/21/2022","Tech","New York City, NY","Series B","Business Insider",NA,"New York City"
"Callisto Media",140,0.35,"7/21/2022","Data","Emeryville, CA","Series D","Publishers Weekly",NA,"Emeryville"
"Capsule",NA,NA,"7/21/2022","Health","New York City, NY","Series D","Crain's New York",NA,"New York City"
"Rad Power Bikes",60,0.1,"7/21/2022","Travel","Seattle, WA","Series D","GeekWire",NA,"Seattle"
"InVision",NA,NA,"7/21/2022","Telecommunication","New York City, NY","Unknown","LinkedIn",NA,"New York City"
"Hydrow",70,0.35,"7/21/2022","Fitness","Boston, MA","Series D","Boston Globe",NA,"Boston"
"WHOOP",NA,0.15,"7/21/2022","Fitness","Boston, MA","Series F","Front Office Sports",NA,"Boston"
"98point6",NA,0.1,"7/21/2022","Health","Seattle, WA","Series E","GeekWire",NA,"Seattle"
"RealSelf",11,0.05,"7/21/2022","Fashion","Seattle, WA","Series B","GeekWire",NA,"Seattle"
"Lyft",60,0.02,"7/20/2022","Travel","San Francisco, CA","Post-IPO","WSJ",NA,"San Francisco"
"Varo",75,NA,"7/20/2022","Finance","San Francisco, CA","Series E","Axios",NA,"San Francisco"
"Arc",13,NA,"7/20/2022","Human Resources","Mountain View, CA","Series A","LinkedIn",NA,"Mountain View"
"Flyhomes",150,0.2,"7/20/2022","Business","Seattle, WA","Series C","GeekWire",NA,"Seattle"
"The Mom Project",54,0.15,"7/20/2022","Human Resources","Chicago, IL","Series C","LinkedIn",NA,"Chicago"
"Olive",450,NA,"7/19/2022","Health","Columbus, OH","Series H","Olive",NA,"Columbus"
"Vimeo",NA,0.06,"7/18/2022","Media","New York City, NY","Post-IPO","Business Insider",NA,"New York City"
"TikTok",NA,NA,"7/18/2022","Social Related","Los Angeles, CA","Acquired","Business Insider","TikTok is owned by China-based ByteDance, but the layoffs affected staff in the U.S. The compay also conducted layoffs in July.","Los Angeles"
"Elemy",NA,NA,"7/18/2022","Health","San Francisco, CA","Series B","Behavioral Health Business",NA,"San Francisco"
"Invitae",1000,NA,"7/18/2022","Health","San Francisco, CA","Post-IPO","GenomeWeb",NA,"San Francisco"
"Lusha",30,0.1,"7/18/2022","Business","New York City, NY","Series B","CTech",NA,"New York City"
"Aspire",23,NA,"7/15/2022","Business","San Francisco, CA","Series A","Business Insider",NA,"San Francisco"
"Project44",63,0.05,"7/15/2022","Logistics","Chicago, IL","Unknown","FreightWaves",NA,"Chicago"
"Alto Pharmacy",NA,NA,"7/14/2022","Health","San Francisco, CA","Series E","LinkedIn",NA,"San Francisco"
"OpenSea",NA,0.2,"7/14/2022","Cryptocurrency","New York City, NY","Series C","Devin Finzer",NA,"New York City"
"Papa",NA,0.15,"7/14/2022","Health","Miami, FL","Series D","LinkedIn",NA,"Miami"
"100 Thieves",12,NA,"7/13/2022","Gaming","Los Angeles, CA","Series C","Dexerto",NA,"Los Angeles"
"ChowNow",100,0.2,"7/13/2022","Tech","Los Angeles, CA","Series C","TechCrunch",NA,"Los Angeles"
"Nuro",7,NA,"7/13/2022","Travel","Mountain View, CA","Series D","The Robot Report",NA,"Mountain View"
"Spring",NA,NA,"7/13/2022","Business","San Francisco, CA","Unknown","Business Insider",NA,"San Francisco"
"Fabric",120,0.4,"7/13/2022","Business","New York City, NY","Series C","TechCrunch",NA,"New York City"
"Tonal",262,0.35,"7/13/2022","Fitness","San Francisco, CA","Series E","CNBC",NA,"San Francisco"
"Adwerx",40,NA,"7/12/2022","Business","Durham, NC","Unknown","Inman",NA,"Durham"
"Hubilo",45,NA,"7/12/2022","Services","San Francisco, CA","Series B","Inc42",NA,"San Francisco"
"Microsoft",NA,0.01,"7/11/2022","Business","Seattle, WA","Post-IPO","Bloomberg",NA,"Seattle"
"Hopin",242,0.29,"7/11/2022","Services","Delaware","Series D","Business Insider",NA,"Delaware"
"SundaySky",24,0.13,"7/11/2022","Software","New York City, NY","Series D","Globes",NA,"New York City"
"Forward",NA,0.05,"7/11/2022","Health","San Francisco, CA","Series D","Fierce Healthcare",NA,"San Francisco"
"Nextbite",NA,NA,"7/8/2022","Tech","Denver, CO","Series C","Business Insider",NA,"Denver"
"Butler Hospitality",1000,1,"7/8/2022","Services","New York City, NY","Series B","TechCrunch",NA,"New York City"
"NextRoll",NA,0.03,"7/8/2022","Business","San Francisco, CA","Unknown","Business Insider",NA,"San Francisco"
"Cedar",NA,0.24,"7/7/2022","Health","New York City, NY","Series D","Business Insider",NA,"New York City"
"Emotive",30,0.18,"7/7/2022","Telecommunication","Los Angeles, CA","Series B","dot.LA",NA,"Los Angeles"
"Next Insurance",150,0.17,"7/7/2022","Insurance","Palo Alto, CA","Series E","CTech",NA,"Palo Alto"
"Argo AI",150,0.05,"7/7/2022","Travel","Pittsburgh, PA","Unknown","TechCrunch",NA,"Pittsburgh"
"SQream Technologies",30,0.18,"7/6/2022","Data","New York City, NY","Series B","CTech","SQream is based in New York, but most of the employees affected by layoffs are in Israel, accoring to CTech.","New York City"
"Remote",100,0.09,"7/6/2022","Human Resources","San Francisco, CA","Series C","Publico",NA,"San Francisco"
"Outschool",31,0.18,"7/5/2022","Education","San Francisco, CA","Series D","TechCrunch",NA,"San Francisco"
"Verbit",80,0.1,"7/5/2022","AI","New York City, NY","Series E","CTech",NA,"New York City"
"Celsius",150,0.25,"7/3/2022","Cryptocurrency","Hoboken, NJ","Series B","CTech",NA,"Hoboken"
"LetsGetChecked",NA,NA,"7/2/2022","Health","New York City, NY","Series D","Business Post",NA,"New York City"
"Teleport",NA,NA,"7/1/2022","Cloud","Oakland, CA","Series C","Teleport",NA,"Oakland"
"WanderJaunt",85,1,"7/1/2022","Prop Tech","San Francisco, CA","Series B","Short Term Rentalz",NA,"San Francisco"
"Canoo",58,0.06,"7/1/2022","Travel","Torrance, CA","Post-IPO","Business Insider",NA,"Torrance"
"Snyk",30,NA,"6/30/2022","Cybersecurity","Boston, MA","Series F","Snyk",NA,"Boston"
"Stream",NA,NA,"6/30/2022","Telecommunication","Boulder, CO","Series B","Pragmatic Engineer",NA,"Boulder"
"Enjoy",400,0.18,"6/30/2022","Business","Palo Alto, CA","Post-IPO","Bloomberg",NA,"Palo Alto"
"Abra",12,0.05,"6/30/2022","Cryptocurrency","Mountain View, CA","Series C","The Block",NA,"Mountain View"
"Unity",225,0.04,"6/29/2022","Gaming","San Francisco, CA","Post-IPO","Kotaku",NA,"San Francisco"
"Modsy",NA,NA,"6/29/2022","Business","San Francisco, CA","Series C","TechCrunch",NA,"San Francisco"
"Degreed",NA,NA,"6/29/2022","Education","Pleasanton, CA","Series D","LinkedIn",NA,"Pleasanton"
"Baton",16,0.25,"6/29/2022","Travel","San Francisco, CA","Series A","Freight Waves",NA,"San Francisco"
"HomeLight",NA,0.19,"6/29/2022","Prop Tech","San Francisco, CA","Series D","The Real Deal",NA,"San Francisco"
"Qumolo",80,0.19,"6/29/2022","Data","Seattle, WA","Series E","GeekWire",NA,"Seattle"
"Substack",13,0.14,"6/29/2022","Media","San Francisco, CA","Series B","New York Times",NA,"San Francisco"
"AppLovin",300,0.12,"6/29/2022","Software","Palo Alto, CA","Post-IPO","Silicon Valley Business Journal",NA,"Palo Alto"
"Niantic",85,0.08,"6/29/2022","Gaming","San Francisco, CA","Series D","Bloomberg",NA,"San Francisco"
"Sundae",NA,0.15,"6/28/2022","Prop Tech","San Francisco, CA","Series C","Real Trends",NA,"San Francisco"
"Bright Machines",30,0.08,"6/28/2022","Hardware","San Francisco, CA","Unknown","CTech",NA,"San Francisco"
"StockX",120,0.08,"6/28/2022","Business","Detroit, MI","Series E","The Information",NA,"Detroit"
"360dx",170,NA,"6/27/2022","Health","San Diego, CA","Post-IPO","GenomeWeb",NA,"San Diego"
"UiPath",210,0.05,"6/27/2022","AI","New York City, NY","Post-IPO","CNBC",NA,"New York City"
"SafeGraph",NA,0.25,"6/27/2022","AI","San Francisco, CA","Series B","SafeGraph",NA,"San Francisco"
"Amount",NA,0.18,"6/27/2022","Finance","Chicago, IL","Unknown","TechCrunch",NA,"Chicago"
"Postscript",43,0.19,"6/26/2022","Business","San Francisco, CA","Series C","Alex Beller",NA,"San Francisco"
"Ethos Life",40,0.12,"6/24/2022","Insurance","San Francisco, CA","Series D","Coverager",NA,"San Francisco"
"Aura",70,0.09,"6/24/2022","Cybersecurity","Boston, MA","Series F","Bank Info Security",NA,"Boston"
"Ro",NA,0.18,"6/23/2022","Health","New York City, NY","Series D","TechCrunch",NA,"New York City"
"Community",40,NA,"6/22/2022","Social Related","Los Angeles, CA","Unknown","Business Insider",NA,"Los Angeles"
"MasterClass",156,0.2,"6/22/2022","Education","San Francisco, CA","Series E","MasterClass CEO David Rogier","20% of the company was laid off, meaning an estimated 156 employees, per LinkedIn data.","San Francisco"
"SummerBio",101,1,"6/20/2022","Health","Menlo Park, CA","Unknown","Bay Area Inno",NA,"Menlo Park"
"Buzzer",NA,0.2,"6/20/2022","Media","New York City, NY","Unknown","Sportico",NA,"New York City"
"Socure",69,0.13,"6/17/2022","Cybersecurity","Incline Village, NV","Series E","Forbes",NA,"Incline Village"
"Finite State",16,NA,"6/17/2022","Cybersecurity","Columbus, OH","Series B","ColumbusInno",NA,"Columbus"
"Nayya",16,0.15,"6/17/2022","Human Resources","New York City, NY","Series C","Crunchbase News reporting",NA,"New York City"
"Zumper",45,0.15,"6/16/2022","Prop Tech","San Francisco, CA","Series D","The Real Deal",NA,"San Francisco"
"JOKR",50,0.05,"6/16/2022","Food","New York City, NY","Series B","TechCrunch",NA,"New York City"
"Notarize",110,0.25,"6/15/2022","Tech","Boston, MA","Series D","Boston Business Journal",NA,"Boston"
"Tonkean",23,0.23,"6/15/2022","Software","San Francisco, CA","Series B","The Marker","Layoffs affected 12 people in the United States, and 11 people in Israel, per The Marker. Layoffs affected around 23% of employees.","San Francisco"
"Coinbase",NA,0.18,"6/14/2022","Cryptocurrency","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Compass",450,0.1,"6/14/2022","Prop Tech","New York City, NY","Post-IPO","Bloomberg",NA,"New York City"
"Redfin",470,0.08,"6/14/2022","Prop Tech","Seattle, WA","Post-IPO","StreetInsider",NA,"Seattle"
"TIFIN",21,0.1,"6/14/2022","Finance","Boulder, CO","Series D","Axios",NA,"Boulder"
"BlockFi",250,0.2,"6/13/2022","Cryptocurrency","Jersey City, NJ","Series E","BlockFi",NA,"Jersey City"
"DesktopMetal",NA,0.12,"6/13/2022","Services","Burlington, MA","Post-IPO","MarketWatch",NA,"Burlington"
"Keepe",NA,NA,"6/10/2022","Prop Tech","Seattle, WA","Unknown","GeekWire",NA,"Seattle"
"Liongard",NA,NA,"6/10/2022","Tech","Houston, TX","Series B","CRN",NA,"Houston"
"Sonder",NA,0.21,"6/10/2022","Services","San Francisco, CA","Post-IPO","MarketWatch",NA,"San Francisco"
"Albert",20,0.08,"6/10/2022","Finance","Los Angeles, CA","Series C","dot.LA","At least 20 people were laid off from the 250-employee company, per dot.LA. Around 8% of employees were affected.","Los Angeles"
"Stitch Fix",330,0.15,"6/9/2022","Business","San Francisco, CA","Post-IPO","CNBC",NA,"San Francisco"
"Convoy",90,0.07,"6/9/2022","Logistics","Seattle, WA","Series E","GeekWire",NA,"Seattle"
"Hologram",80,0.33,"6/9/2022","Tech","Chicago, IL","Unknown","Crain's Chicago Business",NA,"Chicago"
"OneTrust",950,0.25,"6/9/2022","Cybersecurity","Atlanta, GA","Series C","OneTrust",NA,"Atlanta"
"Jellysmack",NA,0.08,"6/9/2022","Media","New York City, NY","Series C","Business Insider",NA,"New York City"
"Truepill",150,0.15,"6/8/2022","Health","Hayward, CA","Series D","Truepill",NA,"Hayward"
"Deep Instinct",NA,NA,"6/8/2022","Cybersecurity","New York City, NY","Series D","Crunchbase News",NA,"New York City"
"TruePill",NA,0.15,"6/8/2022","Health","Hayward, California","Series D","TruePill",NA,"Hayward"
"Progrexion",100,NA,"6/7/2022","Finance","Salt Lake City, UT","Acquired","Crunchbase News",NA,"Salt Lake City"
"ID.Me",NA,NA,"6/7/2022","Cybersecurity","McLean, VA","Unknown","Business Insider",NA,"McLean"
"Bird",138,0.23,"6/7/2022","Travel","Santa Monica, CA","Post-IPO","TechCrunch",NA,"Santa Monica"
"Sendoso",100,0.14,"6/6/2022","Business","San Francisco, CA","Series C","Business Insider",NA,"San Francisco"
"Dutchie",56,0.08,"6/6/2022","Health","Bend, OR","Series D","GeekWire",NA,"Bend"
"Clubhouse",NA,NA,"6/3/2022","Social Related","San Francisco, CA","Series C","Bloomberg",NA,"San Francisco"
"Superhuman",23,0.22,"6/3/2022","Software","San Francisco, CA","Series C","CEO Rahul Vohra",NA,"San Francisco"
"Stord",59,0.08,"6/3/2022","Logistics","Atlanta, GA","Series D","Business Insider",NA,"Atlanta"
"Carbon Health",250,0.08,"6/2/2022","Health","San Francisco, CA","Series D","Forbes",NA,"San Francisco"
"Esme Learning",40,NA,"6/2/2022","Education","Newton, MA","Unknown","Esme Learning, Crunchbase News reporting",NA,"Newton"
"Eaze",25,NA,"6/2/2022","Health","San Francisco, CA","Series D","Business Insider",NA,"San Francisco"
"Policygenius",170,0.25,"6/2/2022","Insurance","New York City, NY","Series E","TechCrunch",NA,"New York City"
"IRL",25,0.25,"6/2/2022","Social Related","San Francisco, CA","Series C","TechCrunch",NA,"San Francisco"
"Sourcepoint",7,0.13,"6/2/2022","Tech","New York City, NY","Series B","Crunchbase News reporting","Company did not respond to a request to confirm details of layoffs.","New York City"
"Gemini",NA,0.1,"6/2/2022","Finance","New York City, NY","Unknown","Bloomberg",NA,"New York City"
"Loom",34,0.14,"6/1/2022","Business","San Francisco, CA","Series C","TechCrunch",NA,"San Francisco"
"Cybereason",100,NA,"6/1/2022","Cybersecurity","Boston, MA","Series F","CTech","Affected employees are in U.S., Israel, and Europe.","Boston"
"Side",NA,0.1,"6/1/2022","Prop Tech","San Francisco, CA","Unknown","Inman",NA,"San Francisco"
"Cerebral",NA,NA,"5/31/2022","Health","San Francisco, CA","Series C","Bloomberg",NA,"San Francisco"
"Replicated",50,0.33,"5/31/2022","Business","Los Angeles, CA","Series C","Replicated","Around one third of staff were impacted, per LinkedIn estimates.","Los Angeles"
"Tomo",44,0.33,"5/31/2022","Finance","Stamford, CT","Series A","Business Insider",NA,"Stamford"
"Playtika",250,0.33,"5/31/2022","Gaming","Chicago, IL","Post-IPO","Globes","Closing studios in London, Montreal, and Los Angeles. Layoffs affected around 33% of employees.","Chicago"
"Coterie Insurance",30,0.2,"5/27/2022","Insurance","Cincinnati, OH","Series B","CincyInno",NA,"Cincinnati"
"Terminus",NA,0.15,"5/27/2022","Business","Atlanta, GA","Unknown","LinkedIn",NA,"Atlanta"
"Lacework",200,0.2,"5/26/2022","Cybersecurity","San Jose, CA","Series D","The Information",NA,"San Jose"
"The Zebra",40,NA,"5/24/2022","Insurance","Austin, TX","Series D","Coverager",NA,"Austin"
"ClickUp",NA,0.07,"5/24/2022","Software","San Diego, CA","Series C","Protocol",NA,"San Diego"
"PayPal",83,NA,"5/23/2022","Finance","San Jose, CA","Post-IPO","San Jose Business Journal",NA,"San Jose"
"Klarna",700,0.1,"5/23/2022","Finance","Columbus, OH","Unknown","di.se",NA,"Columbus"
"Colossus",97,NA,"5/20/2022","Hardware","Boston, MA","Series A","Axios",NA,"Boston"
"Outside Inc",NA,0.15,"5/20/2022","Media","Boulder, CO","Series B","Denver Business Journal",NA,"Boulder"
"Skillz",70,0.1,"5/20/2022","Gaming","San Francisco, CA","Post-IPO","TechCrunch",NA,"San Francisco"
"Talkdesk",NA,NA,"5/19/2022","Customer Relationship","San Francisco, CA","Series D","Confirmed by CB News from source",NA,"San Francisco"
"Netflix",150,0.01,"5/17/2022","Media","Los Gatos, CA","Post-IPO","CNBC",NA,"Los Gatos"
"Picsart",90,0.08,"5/17/2022","Media","Miami, FL","Series C","The Information",NA,"Miami"
"Zulily",99,0.1,"5/16/2022","Business","Seattle, WA","Acquired","GeekWire","Less than 10% and fewer than 100 employees were laid off. Layoffs affected around 10% of employees.","Seattle"
"Subspace",NA,1,"5/13/2022","Media","Los Angeles, CA","Series B","LinkedIn",NA,"Los Angeles"
"Latch",30,0.06,"5/13/2022","Services","New York City, NY","Post-IPO","TechCrunch",NA,"New York City"
"Thirty Madison",24,0.03,"5/13/2022","Health","New York City, NY","Acquired","Axios","Per Axios, 22 of the employees laid off were from Thirty Madison, and two were from new parent company Nurx. Layoffs affected around 3% of employees.","New York City"
"Zwift",NA,NA,"5/12/2022","Fitness","Long Beach, CA","Series C","DC Rainmaker",NA,"Long Beach"
"Tripwire",NA,NA,"5/12/2022","Security","Portland, OR","Acquired","OregonLive",NA,"Portland"
"Section4",32,0.25,"5/12/2022","Education","New York City, NY","Series A","TechCrunch",NA,"New York City"
"DataRobot",70,0.07,"5/11/2022","AI","Boston, MA","Series G","The Information",NA,"Boston"
"Carvana",NA,0.12,"5/10/2022","Auto","Tempe, AZ","Post-IPO","TechCrunch",NA,"Tempe"
"Doma",310,0.15,"5/10/2022","Insurance","San Francisco, CA","Post-IPO","HousingWire",NA,"San Francisco"
"Vroom",270,0.14,"5/9/2022","Auto","New York City, NY","Post-IPO","MarketWatch",NA,"New York City"
"Bizzabo",120,0.3,"5/7/2022","Services","New York City, NY","Series E","Calcalistech",NA,"New York City"
"Mural",NA,NA,"5/6/2022","Services","San Francisco, CA","Series C","Protocol",NA,"San Francisco"
"Reef",750,0.05,"5/6/2022","Food","Miami, FL","Unknown","The Information",NA,"Miami"
"On Deck",72,0.25,"5/5/2022","Business","San Francisco, CA","Series A","TechCrunch",NA,"San Francisco"
"Cameo",167,NA,"5/4/2022","Media","Chicago, IL","Unknown","The Information",NA,"Chicago"
"MainStreet",50,0.33,"5/4/2022","Finance","San Jose, CA","Series A","Insider","Around 50 people were laid off. Layoffs affected around 33% of employees.","San Jose"
"Ideoclick",40,0.33,"5/4/2022","Business","Seattle, WA","Series A","Puget Sound Business Journal",NA,"Seattle"
"Vise",25,0.25,"5/4/2022","Finance","New York City, NY","Series C","CityWire",NA,"New York City"
"Thrasio",NA,NA,"5/2/2022","Business","Walpole, MA","Unknown","Insider",NA,"Walpole"
"Noom",495,NA,"4/29/2022","Fitness","New York City, NY","Series F","Endgadget",NA,"New York City"
"Netflix",25,NA,"4/28/2022","Media","Los Gatos, CA","Post-IPO","The Wrap",NA,"Los Gatos"
"Robinhood",340,0.09,"4/26/2022","Finance","Menlo Park, CA","Post-IPO","CNBC",NA,"Menlo Park"
"Clyde",19,NA,"4/25/2022","Business","New York City, NY","Series B","External Spreadsheet","At least 19 people were laid off","New York City"
"Blend",200,0.1,"4/19/2022","Finance","San Francisco, CA","Post-IPO","HousingWire",NA,"San Francisco"
"Better",NA,NA,"4/19/2022","Finance","New York City, NY","Unknown","TechCrunch",NA,"New York City"
"Automox",NA,0.11,"4/18/2022","Security","Boulder, CO","Series C","LinkedIn",NA,"Boulder"
"Halcyon Health",NA,1,"4/15/2022","Health","New York City, NY","Unknown","Axios",NA,"New York City"
"Ahead",NA,1,"4/14/2022","Health","Santa Clara, CA","Unknown","Bloomberg",NA,"Santa Clara"
"Rad Power Bikes",100,0.14,"4/12/2022","Travel","Seattle, WA","Series D","GeekWire",NA,"Seattle"
"Food52",20,0.06,"4/8/2022","Media","New York City, NY","Acquired","Digiday",NA,"New York City"
"Workrise",NA,NA,"4/5/2022","Business","Austin, TX","Series E","TechCrunch",NA,"Austin"
"Fast",400,1,"4/5/2022","Finance","San Francisco, CA","Series B","The Information","Company shut down, and at least 400 people were laid off, per estimates of Fast's headcount.","San Francisco"
