"company","layoff_number","layoff_percent","announcement_date","industry","headquarters","financing_stage","source","notes","City"
"Chegg",80,0.04,"6/12/2023","Education","Santa Clara, CA","Post-IPO","Bloomberg",NA,"Santa Clara"
"Pendo",100,0.12,"6/12/2023","Services","Raleigh, NC","Series F","Crunchbase reporting",NA,"Raleigh"
"Grubhub",400,0.15,"6/12/2023","Food","San Francisco, CA","Acquired","CNBC",NA,"San Francisco"
"TaxBit",80,0.4,"6/11/2023","Finance","Draper, UT","Unknown","The Information",NA,"Draper"
"Expel",60,0.1,"6/9/2023","Cybersecurity","Herndon, VA","Series E","Expel",NA,"Herndon"
"23andMe",75,0.09,"6/9/2023","Health","Sunnyvale, CA","Post-IPO","GenomeWeb",NA,"Sunnyvale"
"Freshworks",NA,NA,"6/8/2023","Customer Relationship","San Mateo, CA","Post-IPO","BW Disrupt",NA,"San Mateo"
"Cityblock Health",155,0.12,"6/8/2023","Health","New York City, NY","Series D","Fierce Healthcare",NA,"New York City"
"HashiCorp",NA,0.08,"6/7/2023","Cybersecurity","San Francisco, CA","Post-IPO","HashiCorp",NA,"San Francisco"
"Bunnii",NA,1,"6/6/2023","Health","New York City, NY","Unknown","Axios",NA,"New York City"
"Dragos",50,0.09,"6/6/2023","Cybersecurity","Hanover, MA","Series D","Dragos",NA,"Hanover"
"Reddit",90,0.05,"6/6/2023","Social Related","San Francisco, CA","Series F","WSJ",NA,"San Francisco"
"Flyhomes",NA,NA,"6/5/2023","Finance","Seattle, WA","Series C","GeekWire",NA,"Seattle"
"Azibo",NA,NA,"6/5/2023","Finance","Reno, NV","Unknown","CEO of Azibo",NA,"Reno"
"SentinelOne",NA,0.05,"6/1/2023","AI","Mountain View, CA","Post-IPO","MarketWatch",NA,"Mountain View"
"Outbrain",90,0.1,"6/1/2023","Business","New York City, NY","Post-IPO","Calcalistech",NA,"New York City"
"Fractal Software",NA,NA,"6/1/2023","Business","New York City, NY","Unknown","Business Insider",NA,"New York City"
"CloudTrucks",NA,NA,"6/1/2023","Logistics","San Francisco, CA","Series B","FreightWaves",NA,"San Francisco"
"Outbrain",90,0.1,"6/1/2023","Advertising","New York City, NY","Post-IPO","Calcalistech",NA,"New York City"
"Vendr",100,0.25,"5/31/2023","Logistics","Boston, MA","Series B","The Information",NA,"Boston"
"ZipRecruiter",270,0.2,"5/31/2023","Human Resources","Santa Monica, CA","Post-IPO","ZipRecruiter",NA,"Santa Monica"
"Zendesk",320,0.08,"5/31/2023","Business","San Francisco, CA","Acquired","Zendesk",NA,"San Francisco"
"PacketFabric",NA,NA,"5/30/2023","Cloud","Culver City, CA","Unknown","PacketFabric",NA,"Culver City"
"Coupa Software",NA,NA,"5/30/2023","Finance","San Mateo, CA","Unknown","PYMNTS",NA,"San Mateo"
"Project44",130,0.1,"5/26/2023","Logistics","Chicago, IL","Unknown","FreightWaves",NA,"Chicago"
"Kabam",NA,0.12,"5/25/2023","Gaming","San Francisco, CA","Acquired","PocketGamer.biz",NA,"San Francisco"
"WillowTree",120,0.12,"5/24/2023","Software","Charlottesville, VA","Acquired","The Daily Progress",NA,"Charlottesville"
"Guild",172,0.12,"5/24/2023","Education","Denver, CO","Series F","Denver Business Journal",NA,"Denver"
"First Citizens Bank",500,0.03,"5/24/2023","Finance","Raleigh, NC","Unknown","Axios",NA,"Raleigh"
"Paperless Parts",NA,NA,"5/22/2023","Services","Boston, MA","Series B","BostInno",NA,"Boston"
"AppFolio",62,NA,"5/22/2023","Prop Tech","Goleta, CA","Post-IPO","Pacific Coast Business Times",NA,"Goleta"
"Nuance Communications",NA,NA,"5/20/2023","AI","Burlington, MA","Acquired","Boston Globe",NA,"Burlington"
"dbt Labs",NA,0.15,"5/18/2023","Data","Philadelphia, PA","Series D","dbt Labs",NA,"Philadelphia"
"Pie Insurance",63,0.14,"5/18/2023","Insurance","Washington, DC","Series D","Pie Insurance",NA,"Washington"
"Clearbit",NA,NA,"5/18/2023","Business","San Francisco, CA","Series A","Clearbit",NA,"San Francisco"
"Formstack",NA,NA,"5/17/2023","Software","Fishers, IN","Private Equity","Formastack CEO Chris Byers",NA,"Fishers"
"TuSimple",330,0.3,"5/17/2023","Electric Vehicle (EV)","San Diego, CA","Post-IPO","TechCrunch",NA,"San Diego"
"DroneUp",NA,NA,"5/16/2023","Services","Virginia Beach, VA","Unknown","CNBC",NA,"Virginia Beach"
"Lemonade",45,0.03,"5/16/2023","Insurance","New York City, NY","Post-IPO","Calcalistech",NA,"New York City"
"Cerner",NA,0.11,"5/16/2023","Health","Kansas City, MO","Acquired","Insider",NA,"Kansas City"
"Cana",NA,1,"5/13/2023","Food","Emeryville, CA","Unknown","The Spoon",NA,"Emeryville"
